10, 98, 239
71, 138, 247
3, 144, 241
3, 36, 213
43, 127, 246
5, 74, 237
14, 84, 245
9, 15, 210
9, 75, 224
43, 120, 243
16, 99, 254
47, 148, 246
5, 70, 239
10, 93, 245
2, 55, 236
3, 12, 206
2, 14, 198
10, 96, 250
7, 81, 247
7, 40, 209
4, 25, 206
22, 150, 245
16, 50, 217
63, 129, 242
3, 24, 216
30, 110, 247
13, 93, 242
7, 14, 193
98, 150, 244
95, 154, 254
26, 120, 243
4, 21, 208
11, 102, 247
9, 82, 240
9, 47, 219
55, 130, 252
10, 82, 244
5, 55, 237
5, 39, 229
87, 153, 248
7, 44, 220
12, 71, 227
59, 134, 244
17, 97, 238
8, 36, 221
4, 7, 165
17, 151, 245
1, 16, 196
29, 112, 241
34, 139, 248
3, 46, 217
12, 19, 158
5, 2, 202
9, 54, 235
38, 106, 241
1, 9, 193
17, 83, 232
62, 134, 245
4, 62, 222
21, 111, 235
1, 11, 202
5, 80, 243
62, 127, 242
1, 106, 247
86, 152, 241
9, 142, 240
49, 125, 245
81, 147, 252
1, 23, 212
29, 100, 244
18, 115, 249
20, 125, 230
58, 136, 242
20, 83, 233
32, 105, 239
3, 6, 158
45, 134, 245
7, 62, 223
42, 119, 242
19, 84, 229
29, 93, 241
49, 117, 246
6, 42, 220
4, 69, 238
3, 27, 217
9, 95, 249
10, 70, 223
7, 55, 220
19, 77, 226
3, 2, 160
73, 138, 247
28, 131, 240
13, 133, 246
20, 132, 246
17, 117, 243
52, 118, 243
45, 119, 243
27, 111, 237
37, 141, 248
25, 119, 242
12, 74, 228
45, 122, 248
42, 107, 245
5, 10, 197
24, 99, 239
4, 99, 238
9, 81, 243
4, 38, 228
121, 170, 244
9, 125, 249
20, 124, 247
69, 140, 244
4, 6, 195
3, 9, 176
56, 138, 247
54, 125, 253
28, 120, 239
9, 118, 246
33, 143, 245
20, 117, 244
8, 114, 251
2, 54, 215
3, 71, 236
15, 33, 228
22, 73, 229
7, 96, 234
7, 115, 247
130, 176, 254
27, 99, 240
24, 84, 237
39, 121, 246
3, 1, 177
3, 20, 190
1, 33, 216
1, 5, 154
7, 89, 231
3, 124, 247
15, 70, 231
27, 92, 237
37, 122, 248
2, 65, 229
4, 36, 195
12, 115, 242
15, 130, 245
39, 117, 248
51, 120, 241
36, 102, 245
17, 100, 252
56, 126, 250
5, 54, 216
27, 85, 234
13, 43, 221
14, 64, 224
2, 61, 231
26, 86, 230
105, 154, 246
7, 103, 250
56, 119, 247
7, 87, 242
5, 47, 213
31, 112, 241
36, 139, 248
3, 8, 193
4, 72, 239
8, 120, 244
22, 114, 243
12, 145, 242
7, 96, 247
132, 170, 248
105, 150, 248
4, 5, 185
6, 57, 231
17, 44, 212
2, 37, 224
11, 63, 240
35, 133, 241
3, 105, 247
55, 136, 247
5, 61, 232
2, 46, 229
27, 133, 251
2, 30, 221
64, 127, 242
10, 87, 243
2, 49, 234
7, 72, 240
6, 94, 234
9, 62, 219
8, 20, 198
30, 83, 223
43, 148, 239
5, 95, 230
8, 23, 203
15, 104, 242
3, 15, 209
27, 126, 248
8, 42, 216
52, 117, 246
22, 83, 233
14, 105, 238
1, 19, 186
7, 68, 242
1, 63, 229
8, 16, 200
13, 77, 232
23, 118, 251
13, 80, 237
6, 140, 242
15, 99, 248
7, 19, 205
14, 100, 244
31, 130, 244
35, 114, 241
3, 26, 196
143, 178, 244
30, 131, 240
5, 102, 246
7, 54, 199
2, 132, 245
39, 120, 249
19, 120, 248
11, 21, 192
46, 152, 247
18, 121, 244
5, 95, 243
78, 138, 244
123, 170, 244
13, 49, 227
38, 116, 247
17, 74, 225
42, 141, 245
1, 104, 243
4, 53, 215
29, 99, 236
11, 118, 246
47, 124, 250
59, 132, 253
10, 114, 251
5, 71, 236
83, 141, 244
7, 61, 215
4, 46, 212
1, 97, 240
144, 179, 247
1, 138, 241
11, 127, 251
14, 81, 244
5, 20, 190
34, 118, 244
11, 28, 208
18, 109, 247
5, 64, 233
5, 124, 247
2, 113, 245
135, 180, 253
13, 139, 241
11, 21, 205
18, 102, 244
54, 135, 246
4, 60, 231
6, 33, 213
66, 141, 244
3, 40, 228
1, 41, 200
42, 122, 245
2, 22, 211
18, 136, 242
34, 103, 242
115, 166, 246
24, 97, 235
2, 38, 192
21, 82, 232
5, 8, 193
138, 173, 247
5, 27, 206
30, 100, 243
8, 40, 223
33, 107, 243
17, 111, 241
41, 136, 240
1, 36, 206
98, 149, 245
9, 72, 236
13, 16, 184
11, 28, 221
5, 105, 247
10, 46, 214
58, 127, 248
37, 128, 243
127, 167, 250
49, 150, 249
1, 48, 216
69, 134, 242
106, 163, 254
11, 62, 219
42, 154, 254
36, 108, 240
29, 109, 240
33, 93, 237
2, 1, 165
5, 15, 209
41, 134, 251
38, 119, 248
15, 84, 235
20, 111, 242
17, 96, 239
105, 160, 241
4, 94, 242
6, 51, 216
4, 78, 234
